# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-06-05"	6886	188	NA	NA	6634
"2020-06-06"	6886	188	NA	NA	6638
"2020-06-07"	6887	188	NA	NA	6640
"2020-06-08"	6888	188	NA	NA	6641
"2020-06-09"	6888	188	NA	NA	6643
"2020-06-10"	6888	188	NA	NA	6648
"2020-06-11"	6888	188	NA	NA	6651
"2020-06-12"	6889	189	NA	NA	6653
"2020-06-13"	6892	189	NA	NA	6659
"2020-06-14"	6894	189	NA	NA	6661
"2020-06-15"	6894	189	NA	NA	6667
"2020-06-16"	6894	189	NA	NA	6671
"2020-06-17"	6895	189	NA	NA	6672
"2020-06-18"	6896	189	NA	NA	6674
"2020-06-19"	6896	189	NA	NA	6676
"2020-06-20"	6898	189	NA	NA	6679
"2020-06-21"	6899	189	NA	NA	6680
"2020-06-22"	6900	189	NA	NA	6681
"2020-06-23"	6901	189	NA	NA	6686
"2020-06-24"	6903	189	NA	NA	6687
"2020-06-25"	6903	189	NA	NA	6689
"2020-06-26"	6903	189	NA	NA	6695
"2020-06-27"	6904	189	NA	NA	6700
"2020-06-28"	6904	189	NA	NA	6700
"2020-06-29"	6906	189	NA	NA	6700
"2020-06-30"	6906	189	NA	NA	6700
