# Data Source: https://www.kaggle.com/kimjihoo/coronavirusdataset/data?select=TimeProvince.csv 
# Data provenience: Korea Centers for Disease Control & Prevention 
# License: CC BY-NC-SA 4.0 
"time"	"cases"	"deaths"	"hospitalized"	"icu"	"recovered"
"2020-06-14"	127	0	NA	NA	123
"2020-06-15"	130	0	NA	NA	124
"2020-06-16"	132	0	NA	NA	124
"2020-06-17"	132	0	NA	NA	124
"2020-06-18"	132	0	NA	NA	124
"2020-06-19"	132	0	NA	NA	124
"2020-06-20"	132	0	NA	NA	124
"2020-06-21"	133	0	NA	NA	124
"2020-06-22"	133	0	NA	NA	124
"2020-06-23"	133	0	NA	NA	124
"2020-06-24"	133	0	NA	NA	124
"2020-06-25"	133	0	NA	NA	125
"2020-06-26"	133	0	NA	NA	125
"2020-06-27"	133	0	NA	NA	128
"2020-06-28"	133	0	NA	NA	128
"2020-06-29"	134	0	NA	NA	128
"2020-06-30"	134	0	NA	NA	128
